month,agebin,densitybin,fraction_infected_bin,count,num_in_group,freq_frac_infect,site,year
7,5,0,0,0,0,NA,dapelogo_2007,1
7,5,0,5,0,0,NA,dapelogo_2007,1
7,5,0,20,0,0,NA,dapelogo_2007,1
7,5,0,50,0,0,NA,dapelogo_2007,1
7,5,0,80,0,0,NA,dapelogo_2007,1
7,5,0,100,0,0,NA,dapelogo_2007,1
7,5,0.5,0,0,0,NA,dapelogo_2007,1
7,5,0.5,5,0,0,NA,dapelogo_2007,1
7,5,0.5,20,0,0,NA,dapelogo_2007,1
7,5,0.5,50,0,0,NA,dapelogo_2007,1
7,5,0.5,80,0,0,NA,dapelogo_2007,1
7,5,0.5,100,0,0,NA,dapelogo_2007,1
7,5,5,0,1,1,1,dapelogo_2007,1
7,5,5,5,0,1,0,dapelogo_2007,1
7,5,5,20,0,1,0,dapelogo_2007,1
7,5,5,50,0,1,0,dapelogo_2007,1
7,5,5,80,0,1,0,dapelogo_2007,1
7,5,5,100,0,1,0,dapelogo_2007,1
7,5,50,0,0,0,NA,dapelogo_2007,1
7,5,50,5,0,0,NA,dapelogo_2007,1
7,5,50,20,0,0,NA,dapelogo_2007,1
7,5,50,50,0,0,NA,dapelogo_2007,1
7,5,50,80,0,0,NA,dapelogo_2007,1
7,5,50,100,0,0,NA,dapelogo_2007,1
7,5,500,0,1,4,0.25,dapelogo_2007,1
7,5,500,5,1,4,0.25,dapelogo_2007,1
7,5,500,20,0,4,0,dapelogo_2007,1
7,5,500,50,2,4,0.5,dapelogo_2007,1
7,5,500,80,0,4,0,dapelogo_2007,1
7,5,500,100,0,4,0,dapelogo_2007,1
7,5,5000,0,0,2,0,dapelogo_2007,1
7,5,5000,5,1,2,0.5,dapelogo_2007,1
7,5,5000,20,0,2,0,dapelogo_2007,1
7,5,5000,50,1,2,0.5,dapelogo_2007,1
7,5,5000,80,0,2,0,dapelogo_2007,1
7,5,5000,100,0,2,0,dapelogo_2007,1
7,5,50000,0,0,2,0,dapelogo_2007,1
7,5,50000,5,0,2,0,dapelogo_2007,1
7,5,50000,20,0,2,0,dapelogo_2007,1
7,5,50000,50,1,2,0.5,dapelogo_2007,1
7,5,50000,80,1,2,0.5,dapelogo_2007,1
7,5,50000,100,0,2,0,dapelogo_2007,1
7,5,5.00E+05,0,0,0,NA,dapelogo_2007,1
7,5,5.00E+05,5,0,0,NA,dapelogo_2007,1
7,5,5.00E+05,20,0,0,NA,dapelogo_2007,1
7,5,5.00E+05,50,0,0,NA,dapelogo_2007,1
7,5,5.00E+05,80,0,0,NA,dapelogo_2007,1
7,5,5.00E+05,100,0,0,NA,dapelogo_2007,1
7,15,0,0,0,0,NA,dapelogo_2007,1
7,15,0,5,0,0,NA,dapelogo_2007,1
7,15,0,20,0,0,NA,dapelogo_2007,1
7,15,0,50,0,0,NA,dapelogo_2007,1
7,15,0,80,0,0,NA,dapelogo_2007,1
7,15,0,100,0,0,NA,dapelogo_2007,1
7,15,0.5,0,0,0,NA,dapelogo_2007,1
7,15,0.5,5,0,0,NA,dapelogo_2007,1
7,15,0.5,20,0,0,NA,dapelogo_2007,1
7,15,0.5,50,0,0,NA,dapelogo_2007,1
7,15,0.5,80,0,0,NA,dapelogo_2007,1
7,15,0.5,100,0,0,NA,dapelogo_2007,1
7,15,5,0,0,0,NA,dapelogo_2007,1
7,15,5,5,0,0,NA,dapelogo_2007,1
7,15,5,20,0,0,NA,dapelogo_2007,1
7,15,5,50,0,0,NA,dapelogo_2007,1
7,15,5,80,0,0,NA,dapelogo_2007,1
