agebin,prevalence,total_sampled,num_pos,month,year,Site
1,0.772268557,71,55,7,1,namawala_2001
4,0.935283299,149,139,7,1,namawala_2001
10,0.898573643,180,162,7,1,namawala_2001
20,0.80895821,277,224,7,1,namawala_2001
39,0.569980386,316,180,7,1,namawala_2001
80,0.489766571,145,71,7,1,namawala_2001
1,0.772268557,71,55,9,1,namawala_2001
4,0.935283299,149,139,9,1,namawala_2001
10,0.898573643,180,162,9,1,namawala_2001
20,0.80895821,277,224,9,1,namawala_2001
39,0.569980386,316,180,9,1,namawala_2001
80,0.489766571,145,71,9,1,namawala_2001
1,0.772268557,71,55,11,1,namawala_2001
4,0.935283299,149,139,11,1,namawala_2001
10,0.898573643,180,162,11,1,namawala_2001
20,0.80895821,277,224,11,1,namawala_2001
39,0.569980386,316,180,11,1,namawala_2001
80,0.489766571,145,71,11,1,namawala_2001
1,0.772268557,71,55,1,2,namawala_2001
4,0.935283299,149,139,1,2,namawala_2001
10,0.898573643,180,162,1,2,namawala_2001
20,0.80895821,277,224,1,2,namawala_2001
39,0.569980386,316,180,1,2,namawala_2001
80,0.489766571,145,71,1,2,namawala_2001
1,0.772268557,71,55,3,2,namawala_2001
4,0.935283299,149,139,3,2,namawala_2001
10,0.898573643,180,162,3,2,namawala_2001
20,0.80895821,277,224,3,2,namawala_2001
39,0.569980386,316,180,3,2,namawala_2001
80,0.489766571,145,71,3,2,namawala_2001
1,0.772268557,71,55,5,2,namawala_2001
4,0.935283299,149,139,5,2,namawala_2001
10,0.898573643,180,162,5,2,namawala_2001
20,0.80895821,277,224,5,2,namawala_2001
39,0.569980386,316,180,5,2,namawala_2001
80,0.489766571,145,71,5,2,namawala_2001
1,0.772268557,71,55,7,2,namawala_2001
4,0.935283299,149,139,7,2,namawala_2001
10,0.898573643,180,162,7,2,namawala_2001
20,0.80895821,277,224,7,2,namawala_2001
39,0.569980386,316,180,7,2,namawala_2001
80,0.489766571,145,71,7,2,namawala_2001
1,0.772268557,71,55,9,2,namawala_2001
4,0.935283299,149,139,9,2,namawala_2001
10,0.898573643,180,162,9,2,namawala_2001
20,0.80895821,277,224,9,2,namawala_2001
39,0.569980386,316,180,9,2,namawala_2001
80,0.489766571,145,71,9,2,namawala_2001
1,0.772268557,71,55,11,2,namawala_2001
4,0.935283299,149,139,11,2,namawala_2001
10,0.898573643,180,162,11,2,namawala_2001
20,0.80895821,277,224,11,2,namawala_2001
39,0.569980386,316,180,11,2,namawala_2001
80,0.489766571,145,71,11,2,namawala_2001
1,0.772268557,71,55,1,3,namawala_2001
4,0.935283299,149,139,1,3,namawala_2001
10,0.898573643,180,162,1,3,namawala_2001
20,0.80895821,277,224,1,3,namawala_2001
39,0.569980386,316,180,1,3,namawala_2001
80,0.489766571,145,71,1,3,namawala_2001
1,0.772268557,71,55,3,3,namawala_2001
4,0.935283299,149,139,3,3,namawala_2001
10,0.898573643,180,162,3,3,namawala_2001
20,0.80895821,277,224,3,3,namawala_2001
39,0.569980386,316,180,3,3,namawala_2001
80,0.489766571,145,71,3,3,namawala_2001
1,0.772268557,71,55,5,3,namawala_2001
4,0.935283299,149,139,5,3,namawala_2001
10,0.898573643,180,162,5,3,namawala_2001
20,0.80895821,277,224,5,3,namawala_2001
39,0.569980386,316,180,5,3,namawala_2001
80,0.489766571,145,71,5,3,namawala_2001
1,0.772268557,71,55,7,3,namawala_2001
4,0.935283299,149,139,7,3,namawala_2001
10,0.898573643,180,162,7,3,namawala_2001
20,0.80895821,277,224,7,3,namawala_2001
39,0.569980386,316,180,7,3,namawala_2001
80,0.489766571,145,71,7,3,namawala_2001
