"","date","agebin","variable","prevalence","total_sampled","num_pos","month","year","Site"
"1","2018/08/01","15","gametocytes",0.251798561151079,139,35,8,1,"Sapone_2018"
"2","2018/08/01","15","parasites",0.855072463768116,138,118,8,1,"Sapone_2018"
"3","2018/08/01","5","gametocytes",0.0686274509803922,102,7,8,1,"Sapone_2018"
"4","2018/08/01","5","parasites",0.362745098039216,102,37,8,1,"Sapone_2018"
"5","2018/08/01","80","gametocytes",0.126582278481013,158,20,8,1,"Sapone_2018"
"6","2018/08/01","80","parasites",0.639240506329114,158,101,8,1,"Sapone_2018"
"7","2019/01/01","15","gametocytes",0.527472527472527,91,48,1,2,"Sapone_2018"
"8","2019/01/01","15","parasites",0.641304347826087,92,59,1,2,"Sapone_2018"
"9","2019/01/01","5","gametocytes",0.262295081967213,61,16,1,2,"Sapone_2018"
"10","2019/01/01","5","parasites",0.327868852459016,61,20,1,2,"Sapone_2018"
"11","2019/01/01","80","gametocytes",0.441441441441441,111,49,1,2,"Sapone_2018"
"12","2019/01/01","80","parasites",0.648648648648649,111,72,1,2,"Sapone_2018"
"13","2019/05/01","15","gametocytes",0.355140186915888,107,38,5,2,"Sapone_2018"
"14","2019/05/01","15","parasites",0.462962962962963,108,50,5,2,"Sapone_2018"
"15","2019/05/01","5","gametocytes",0.129032258064516,62,8,5,2,"Sapone_2018"
"16","2019/05/01","5","parasites",0.126984126984127,63,8,5,2,"Sapone_2018"
"17","2019/05/01","80","gametocytes",0.267241379310345,116,31,5,2,"Sapone_2018"
"18","2019/05/01","80","parasites",0.405172413793103,116,47,5,2,"Sapone_2018"
"19","2020/01/01","15","gametocytes",0.490196078431373,102,50,1,3,"Sapone_2018"
"20","2020/01/01","15","parasites",0.601941747572815,103,62,1,3,"Sapone_2018"
"21","2020/01/01","5","gametocytes",0.175438596491228,57,10,1,3,"Sapone_2018"
"22","2020/01/01","5","parasites",0.175438596491228,57,10,1,3,"Sapone_2018"
"23","2020/01/01","80","gametocytes",0.336363636363636,110,37,1,3,"Sapone_2018"
"24","2020/01/01","80","parasites",0.539823008849557,113,61,1,3,"Sapone_2018"
